,Surface Water (Total number),Flowing Water (Total number),Stagnant Water (Total number),Sediment (Total number)
Run_195,0.11177327623914644,59396.71392701347,76025.1720610796,29156.95931877772
Run_196,0.11177327621129698,59396.71392170346,75936.46244525872,28932.3458632973
Run_197,0.11177324846880667,59396.71007457584,75892.74330958303,29154.510481323086
Run_198,0.09288447001503121,52082.541386710174,95955.61071844673,366024.2255930128
Run_199,0.11150277498870352,59203.448250419875,92530.86853862037,42942.68036806192
Run_200,0.11279707717159466,59855.54200229334,10431.568015066878,4717.182936256265
Run_201,0.11235839724255012,59715.193439081646,37425.84052009966,9926.289556677571
Run_202,0.11235839724245943,59715.19343899849,37421.21267774432,9904.457764092565
Run_203,0.11235839727049533,59715.19344519629,37440.886716884736,9997.512176717306
Run_204,0.11239628985756153,59727.8228586702,35012.49107103062,9308.634855918808
Run_205,0.11265671765452906,59827.99713348702,11021.807083668411,6336.878957191421
Run_206,0.11257720645107941,59772.092044926816,31590.313058991975,7082.859790745554
Run_207,0.08537076716170043,49088.82275628779,105379.26720041559,504900.2733765707
Run_208,0.11235839724255012,59715.193439081646,37425.84052009966,9926.289556677571
Run_209,0.0028522009202918684,4070.6687911731565,7721758705.083542,28851267510.058212
Run_210,0.0028522009202918684,4070.6687911731565,7721758705.083542,28851267510.058212
Run_211,0.0028528447441684957,4070.860294521654,7721758812.416303,28851267895.02605
Run_212,0.002801999354305628,4054.8226043494055,7721716235.029318,28851070205.07312
Run_213,0.0028558928290848677,4072.721735438162,7814452625.456125,28827238803.876495
Run_214,1227270.271257559,7953.122958422559,6112.4035292341505,383000.958404035
Run_215,0.0020227187972320037,3767.566561897984,3127221243.923911,13908093547.381657
Run_216,0.0012074814328111906,3250.4631814886416,1042760.4539062151,4291395.645831916
Run_217,48018.48936791116,15683.205737049373,451.4684630556423,24133.218760982578
Run_218,48018.48936349954,15683.205736990412,450.8619679739632,24051.672866524717
Run_219,48018.4893667844,15683.205737071465,461.883566907378,25527.70271101407
Run_220,48018.48922670701,15683.205908147354,451.4687331744827,24133.221415715398
Run_221,0.001085993100844163,3202.9299137889684,692928.1291659402,3565092.026728704
Run_222,50699.7204158428,14215.76367849699,460.9603797471821,28442.97767103157
Run_223,835595.0071577793,6158.561592223292,3510.447365749288,181584.8272564689
Run_224,48018.48936791116,15683.205737049373,451.4684630556423,24133.218760982578
Run_225,0.11204676198265322,59595.405020379476,53205.754726243096,14404.13555131002
Run_226,0.11204676198265322,59595.405020379476,53205.754726243096,14404.13555131002
Run_227,0.11204676200131994,59595.4050289245,53508.659284790345,15255.020554984185
Run_228,0.11204676197376302,59595.405012575895,52826.5885614532,13390.262252744522
Run_229,0.1120719731393603,59604.43831366422,52291.04632627813,13953.63619336809
Run_230,0.11259031107927109,59801.89720480984,18320.74186415177,6465.700569743729
Run_231,0.11204676198265322,59595.405020379476,53205.754726243096,14404.13555131002
Run_232,0.06339398104391228,40114.9398973653,94349.12793175234,837343.5641407124
Run_233,0.10352542108304559,56166.452515721394,107856.43032994888,188205.43840531475
Run_234,0.10352542094738304,56166.45243439176,103839.0986467762,168553.292208205
Run_235,0.10352542109096516,56166.452520869534,108128.95702811259,189545.4580389858
Run_236,0.10352537943990396,56166.44758258596,107631.51141791989,188251.89642345178
Run_237,0.06339406848643478,40114.95230807053,97098.46214476644,863429.4390818572
Run_238,0.10352542108304559,56166.452515721394,107856.43032994888,188205.43840531475
Run_239,0.11260004497547815,59805.21883608361,17444.44299591454,6805.564789095326
Run_240,0.10352542108304559,56166.452515721394,107856.43032994888,188205.43840531475
Run_241,0.001168820002522869,3227.150385350941,821850.5901160077,3548626.2688022223
Run_242,0.001168820002522869,3227.150385350941,821850.5901160077,3548626.2688022223
Run_243,0.001168810786224121,3227.1470549398923,820276.8057298447,3541015.48138516
Run_244,0.0011688205100001293,3227.1509447958997,821853.7953738291,3548649.591763097
Run_245,0.001168820097935849,3227.150480414356,826357.3244361363,3547591.689337692
