,Surface Water (Total number),Flowing Water (Total number),Stagnant Water (Total number),Sediment (Total number),,,,,
Run_145,0.000894004,3180.708804,15241635.46,56628765.04,,,,,
Run_146,0.000824682,3175.017773,392249.2019,3446608.502,,,,,
Run_147,0.000893973,3180.699031,15241628.5,56628741.49,,,,,
Run_148,0.000894001,3180.707812,15241635.02,56628763.11,,,,,
Run_149,0.000894004,3180.708804,15241635.46,56628765.04,,,,,
Run_150,0.000940251,3184.422799,21328360.07,55943778.1,,,,,
Run_151,0.000797068,3139.683887,7884725.443,35934266.03,,,,,
Run_152,0.111827232,59536.9008,56733.6593,13444.79346,,,,,
Run_153,0.112358118,59726.7144,32543.37083,7000.638339,,,,,
Run_154,0.111211444,59396.88979,60435.36965,6640.951074,,,,,
Run_155,0.111211444,59396.88979,60352.31676,6575.842339,,,,,
Run_156,0.111211444,59396.88979,60324.48522,6554.068608,,,,,
Run_157,0.110076711,58963.10824,74895.99333,12029.04252,,,,,
Run_158,0.111069247,59359.20197,61739.61966,7028.191286,,,,,
Run_159,0.000794279,3139.353043,403731.7981,2475883.337,,,,,
Run_160,0.111211444,59396.88979,60324.48522,6554.068608,,,,,
Run_161,0.000943648,3146.389599,343936.5104,2560496.643,,,,,
Run_162,0.000875413,3126.400614,84651.22138,986284.4105,,,,,
Run_163,0.000943648,3146.389666,343938.7494,2560514.785,,,,,
Run_164,0.000943649,3146.390325,343946.5173,2560580.188,,,,,
Run_165,0.000943648,3146.389599,343936.5104,2560496.643,,,,,
Run_166,8382.268026,52060.40006,149.3988829,22505.58336,,,,,
Run_167,0.000943648,3146.389599,343936.5104,2560496.643,,,,,
Run_168,0.001313859,3470.169571,640174355.8,3550877099,,,,,
Run_169,462350.2081,4707.754325,8462.511769,1190927.273,,,,,
Run_170,462118.1943,4527.62691,2230.722101,353527.3697,,,,,
Run_171,462118.1943,4527.626909,2011.841438,312037.8666,,,,,
Run_172,462118.1943,4527.62691,2233.797573,354102.3596,,,,,
Run_173,0.001289206,3459.6062,46416724.29,311675178.3,,,,,
Run_174,462118.1943,4527.62691,2233.797573,354102.3596,,,,,
Run_175,15130.92305,45487.25012,95.2540637,13999.20436,,,,,
Run_176,462118.1943,4527.62691,2233.797573,354102.3596,,,,,
Run_177,832940.2402,5392.331667,2469.976805,228201.8208,,,,,
Run_178,834043.3337,5961.949166,3519.291721,328259.7988,,,,,
Run_179,832940.2402,5392.331667,2470.513102,228322.2337,,,,,
Run_180,832940.2402,5392.331667,2465.883926,227282.4315,,,,,
Run_181,832940.2402,5392.331667,2469.976805,228201.8208,,,,,
Run_182,0.00187626,3704.892011,220458763,1055042627,,,,,
Run_183,832940.2402,5392.331667,2469.976805,228201.8208,,,,,
Run_184,1882.776146,57905.56019,252.8746954,7513.979228,,,,,
Run_185,0.059608993,38545.92281,76254.34257,452666.31,,,,,
Run_186,0.079466577,46743.41183,98359.94868,557600.5388,,,,,
Run_187,0.079466577,46743.41183,98436.27241,558371.8708,,,,,
Run_188,0.079466577,46743.41183,98371.45158,557716.7766,,,,,
Run_189,1025.671399,58833.62577,354.3365665,10547.31304,,,,,
Run_190,0.079466577,46743.41183,98371.45158,557716.7766,,,,,
Run_191,0.00199813,3753.938261,2484943040,10501115945,,,,,
Run_192,0.079466577,46743.41183,98371.45158,557716.7766,,,,,
Run_193,0.10932932,58568.99854,89728.54164,27230.18288,,,,,
Run_194,0.109122159,58495.80194,89938.56635,26997.64015,,,,,
Run_195,0.10932932,58568.99854,89752.65371,27258.45475,,,,,
Run_196,0.10932932,58568.99854,89582.93753,27059.51093,,,,,
Run_197,0.10932932,58568.99854,89728.54164,27230.18288,,,,,
Run_198,0.068685794,42358.96149,74538.62565,292164.5215,,,,,
Run_199,0.108239942,58068.44107,101349.4933,37857.15712,,,,,
Run_200,0.112288747,59735.56668,22613.51412,4021.357566,,,,,
Run_201,0.111393208,59434.41342,59923.37384,9300.034436,,,,,
Run_202,0.111309799,59408.86438,61294.06634,9255.07235,,,,,
