,Surface Water (Total number),Flowing Water (Total number),Stagnant Water (Total number),Sediment (Total number),,,,,
Run_150,0.002713327,3970.160288,3009766929,8321007641,,,,,
Run_151,0.001908038,3719.17437,882241926.1,4166263888,,,,,
Run_152,0.002574849,3950.604085,2164445714,8422618846,,,,,
Run_153,0.001963787,3725.631656,1211092951,4132805049,,,,,
Run_154,0.001870419,3700.581024,16447104.85,96839134.13,,,,,
Run_155,0.001870382,3700.569639,16447093.54,96839088.13,,,,,
Run_156,0.001870394,3700.579049,17075596.79,96818019.64,,,,,
Run_157,0.001796696,3699.736846,8718695.468,96994846.33,,,,,
Run_158,0.00248341,3904.717047,38531253.87,176650265.9,,,,,
Run_159,0.00187037,3700.565814,16447085.5,96839059.95,,,,,
Run_160,0.00187037,3700.565814,16447085.5,96839059.95,,,,,
Run_161,0.001313753,3470.102191,636629526.2,3551820840,,,,,
Run_162,0.00128867,3459.420085,45839425,311661157.1,,,,,
Run_163,0.001314311,3470.306529,636647557.8,3551963160,,,,,
Run_164,0.001320418,3472.301315,636671161.1,3552134653,,,,,
Run_165,0.001313683,3470.058092,634312547.9,3552454197,,,,,
Run_166,462350.2046,4707.757982,6865.526286,999822.546,,,,,
Run_167,0.001313753,3470.102191,636629526.2,3551820840,,,,,
Run_168,0.001313753,3470.102191,636629526.2,3551820840,,,,,
Run_169,462350.2181,4707.743801,8462.510621,1190927.277,,,,,
Run_170,462118.2146,4527.606037,2230.717898,353527.3693,,,,,
Run_171,462118.2146,4527.606036,2011.83724,312037.8663,,,,,
Run_172,462118.1873,4527.634184,2233.801705,354102.3599,,,,,
Run_173,0.001289169,3459.585656,45487323.64,311764133.7,,,,,
Run_174,462118.2146,4527.606037,2233.793369,354102.3591,,,,,
Run_175,462118.2146,4527.606037,2233.793369,354102.3591,,,,,
Run_176,462118.2146,4527.606037,2233.793369,354102.3591,,,,,
Run_177,832940.24,5392.331847,2469.977021,228201.8231,,,,,
Run_178,834043.3336,5961.949284,3519.291859,328259.7992,,,,,
Run_179,832940.24,5392.331847,2470.513318,228322.236,,,,,
Run_180,832940.24,5392.331847,2465.884141,227282.4338,,,,,
Run_181,832940.234,5392.337494,2469.98377,228201.8939,,,,,
Run_182,0.001876254,3704.88862,220305954.4,1055056429,,,,,
Run_183,832940.24,5392.331847,2469.977021,228201.8231,,,,,
Run_184,832940.24,5392.331847,2469.977021,228201.8231,,,,,
Run_185,0.001875986,3704.759491,215510882.8,1055485128,,,,,
Run_186,0.001996806,3753.245655,2455938221,10508124080,,,,,
Run_187,0.001997895,3753.568202,2455938410,10508124550,,,,,
Run_188,0.001998095,3753.918556,2484055627,10501330947,,,,,
Run_189,834043.3304,5961.952959,3512.401299,327002.5409,,,,,
Run_190,0.00199697,3753.294234,2455938275,10508123990,,,,,
Run_191,0.00199697,3753.294234,2455938275,10508123990,,,,,
Run_192,0.00199697,3753.294234,2455938275,10508123990,,,,,
Run_193,0.002042145,3515.705328,92266991.89,144330870.7,,,,,
Run_194,0.001997905,3512.021429,74525795.98,119854527.4,,,,,
Run_195,0.002042168,3515.712415,92266997.29,144330877.7,,,,,
Run_196,0.002042005,3515.662526,92266946.91,144330811.9,,,,,
Run_197,0.002042108,3515.684685,91324948.22,144415031.5,,,,,
Run_198,0.001286026,3459.026988,20014519.95,151023382.8,,,,,
Run_199,0.004793429,4058.35881,646123607.8,745449686.6,,,,,
Run_200,0.002042145,3515.705328,92266991.89,144330870.7,,,,,
Run_201,0.00248996,3907.944723,195608224.6,803008146.1,,,,,
Run_202,0.002480343,3906.976512,153198931.8,654876033.2,,,,,
Run_203,0.002480641,3907.068252,153199040,654876364.9,,,,,
Run_204,0.00248077,3907.201011,162674919.2,654378075.3,,,,,
Run_205,0.004657405,4046.055851,510659509.3,610899949.9,,,,,
Run_206,0.001284861,3458.91843,15471918.59,125075778.6,,,,,
Run_207,0.002480412,3906.998114,153198966,654876136.6,,,,,
Run_208,0.002480412,3906.998114,153198966,654876136.6,,,,,
Run_209,0.002690424,3990.700603,4026438479,14593366883,,,,,
Run_210,0.002673209,3982.67609,3655299246,13235282088,,,,,
Run_211,0.002690776,3990.805471,4026438504,14593367308,,,,,
Run_212,0.002663111,3982.021737,4026407758,14593237184,,,,,
Run_213,0.002692788,3992.017089,4085997149,14581466671,,,,,
Run_214,1226605.769,7885.367809,5911.912691,367530.1594,,,,,
Run_215,0.001956943,3735.443301,1638926875,7134652789,,,,,
Run_216,0.002690424,3990.700603,4026438479,14593366883,,,,,
Run_217,835194.7675,6147.592687,3467.138872,178117.7531,,,,,
Run_218,835137.2715,6142.713557,3450.829558,176564.5499,,,,,
Run_219,835137.2715,6142.713557,3563.480509,192517.9548,,,,,
Run_220,835137.2695,6142.715781,3456.82472,177418.7342,,,,,
Run_221,0.001940907,3729.514823,1504424872,6481190379,,,,,
