,Surface Water (Total number),Flowing Water (Total number),Stagnant Water (Total number),Sediment (Total number),,,,,,
Run_173,0.001289548,3459.614473,46783261.29,311839621.1,,,,,,
Run_174,462222.0636,4527.791681,2234.072697,354104.7398,,,,,,
Run_175,15135.67095,45487.72179,95.1605177,13999.34401,,,,,,
Run_176,462222.0636,4527.791681,2234.072697,354104.7398,,,,,,
Run_177,833429.3319,5392.66712,2470.904951,228174.9721,,,,,,
Run_178,834532.3688,5961.827397,3522.561566,328228.2483,,,,,,
Run_179,833429.3319,5392.66712,2471.442558,228295.3798,,,,,,
Run_180,833429.3319,5392.66712,2466.802093,227255.6226,,,,,,
Run_181,833429.3319,5392.66712,2470.904951,228174.9721,,,,,,
Run_182,0.001880108,3705.02307,225675502.2,1057514973,,,,,,
Run_183,833429.3319,5392.66712,2470.904951,228174.9721,,,,,,
Run_184,1820.661531,58058.9483,252.1415999,7507.37323,,,,,,
Run_185,0.06080387,38989.70842,87838.2576,451268.2699,,,,,,
Run_186,0.080499952,47065.15828,114650.3044,557093.7088,,,,,,
Run_187,0.080499952,47065.15828,114752.5286,557881.0568,,,,,,
Run_188,0.080499952,47065.15828,114665.7106,557212.3594,,,,,,
Run_189,991.5170702,58955.44977,354.0756787,10539.18191,,,,,,
Run_190,0.080499952,47065.15828,114665.7106,557212.3594,,,,,,
Run_191,0.002003471,3755.142106,2539533775,10536044666,,,,,,
Run_192,0.080499952,47065.15828,114665.7106,557212.3594,,,,,,
Run_193,0.109772054,58627.12158,89621.4609,27240.74866,,,,,,
Run_194,0.109564773,58553.99049,89828.25131,27008.20291,,,,,,
Run_195,0.109772054,58627.12159,89645.57148,27269.04827,,,,,,
Run_196,0.109772054,58627.12158,89475.87301,27069.91195,,,,,,
Run_197,0.109772054,58627.12158,89621.4609,27240.74866,,,,,,
Run_198,0.068849989,42385.92075,75215.54046,292335.7649,,,,,,
Run_199,0.109834309,58324.47084,114104.5158,36862.78099,,,,,,
Run_200,0.112443393,59793.97783,4548.256237,3513.205484,,,,,,
Run_201,0.111721636,59550.45329,39427.64646,7567.208886,,,,,,
Run_202,0.111655352,59531.25692,40336.63971,7502.085833,,,,,,
Run_203,0.111655352,59531.25692,40382.93413,7567.158897,,,,,,
Run_204,0.111655352,59531.25692,40347.53067,7517.374176,,,,,,
Run_205,0.112238879,59753.93306,4684.606549,4092.960549,,,,,,
Run_206,0.111833595,59566.67803,45205.55474,6578.870235,,,,,,
Run_207,0.056481455,37096.7757,89197.32044,356645.2234,,,,,,
Run_208,0.111655352,59531.25692,40347.53067,7517.374176,,,,,,
Run_209,0.002711715,3996.147684,4273022166,14657885435,,,,,,
Run_210,0.002693797,3987.694773,3882317766,13293209860,,,,,,
Run_211,0.00271209,3996.259362,4273022206,14657885768,,,,,,
Run_212,0.002682621,3986.906059,4272989359,14657754731,,,,,,
Run_213,0.002711715,3996.147684,4273022166,14657885435,,,,,,
Run_214,1227931.661,7884.807872,5918.959183,367404.6879,,,,,,
Run_215,0.001962836,3736.96141,1707694786,7151031565,,,,,,
Run_216,0.00118447,3242.017699,762925.1035,3154143.666,,,,,,
Run_217,50492.79415,13452.0608,440.2957101,23332.86886,,,,,,
Run_218,50818.35882,13155.09371,437.7957614,23128.25203,,,,,,
Run_219,50818.35882,13155.09371,447.3242297,24467.81122,,,,,,
Run_220,50818.35882,13155.09371,438.3228428,23202.60393,,,,,,
Run_221,0.001058959,3194.238539,470783.6691,2558394.675,,,,,,
Run_222,53338.04257,11941.60299,440.3968404,26870.29274,,,,,,
Run_223,835604.3636,6142.662354,3457.817452,177390.4069,,,,,,
Run_224,50818.35882,13155.09371,438.3228428,23202.60393,,,,,,
Run_225,0.111771268,59523.39543,45784.35741,11868.82861,,,,,,
Run_226,0.111726121,59509.40136,46338.07954,11877.88265,,,,,,
Run_227,0.111771268,59523.39544,46171.74205,12590.18051,,,,,,
Run_228,0.111771268,59523.39542,45300.09394,11003.53675,,,,,,
Run_229,0.111771268,59523.39543,45784.35741,11868.82861,,,,,,
Run_230,0.112437459,59777.39102,13232.57492,5166.46108,,,,,,
Run_231,0.111771268,59523.39543,45784.35741,11868.82861,,,,,,
Run_232,0.047277118,33002.09455,96130.79279,669054.618,,,,,,
Run_233,0.099558922,54410.15482,123651.7523,171834.8825,,,,,,
Run_234,0.099062103,54223.43459,117478.8086,153122.0218,,,,,,
